venue_location,venue_location_tz,venue_location_tz_min
WA,+8:00,480
CHN,+8:00,480
SA,+9:30,540
NT,+9:30,540
VIC,+10:00,600
NSW,+10:00,600
QLD,+10:00,600
TAS,+10:00,600
ACT,+10:00,600
NZL,+12:00,720
